1.92;9.52;12.12;14.72;19.32;21.92;23.52;27.12;28.72;32.32;35.92;39.52;42.12;44.72;46.32;48.92;49.52;53.12;54.72;58.32;59.92;60.52;61.12;65.72;65.32;66.92;70.52;71.12;73.72;76.32;77.92;81.52;83.12;85.72;86.32;89.92;90.52;93.12;95.72;95.32;98.92;102.52;106.12;107.72;111.32;111.92;113.52;115.12;120.72;123.32;125.92;128.52;131.12;131.72;137.32;138.92;141.52;144.12;145.72;147.32;150.92;152.52;155.12;159.72;162.32;163.92;166.52;168.12;171.72;172.32;172.92;176.52;177.12;177.72;178.32;180.92;182.52;184.12;185.72;186.32;186.92;188.52;191.12;191.72;195.32;195.92;198.52;201.12;201.72;204.32;203.92;204.52;206.12;206.72;206.32;207.92;209.52;210.12;212.72;215.32;215
-0.08;5.52;9.12;12.72;15.32;18.92;22.52;26.12;28.72;31.32;34.92;37.52;40.12;39.72;40.32;42.92;43.52;45.12;49.72;53.32;54.92;55.52;57.12;59.72;60.32;61.92;64.52;65.12;66.72;69.32;72.92;72.52;74.12;75.72;77.32;80.92;83.52;86.12;88.72;89.32;90.92;94.52;96.12;99.72;103.32;105.92;106.52;108.12;109.72;112.32;114.92;116.52;117.12;119.72;126.32;126.92;127.52;130.12;130.72;134.32;135.92;135.52;139.12;142.72;144.32;144.92;147.52;148.12;150.72;152.32;153.92;157.52;159.12;159.72;162.32;165.92;168.52;171.12;173.72;175.32;179.92;179.52;185.12;185.72;187.32;190.92;191.52;193.12;193.72;195.32;196.92;196.52;198.12;198.72;199.32;201.92;203.52;203.12;204.72;206.32;207
0.92;6.52;12.12;14.72;18.32;23.92;27.52;29.12;32.72;37.32;38.92;39.52;40.12;40.72;41.32;43.92;44.52;48.12;51.72;55.32;55.92;59.52;61.12;61.72;63.32;64.92;66.52;67.12;68.72;76.32;77.92;81.52;81.12;81.72;84.32;86.92;90.52;93.12;95.72;96.32;97.92;99.52;102.12;104.72;107.32;107.92;109.52;111.12;110.72;112.32;112.92;113.52;114.12;116.72;121.32;121.92;123.52;126.12;126.72;130.32;134.92;135.52;138.12;141.72;145.32;145.92;148.52;151.12;154.72;154.32;154.92;159.52;161.12;161.72;164.32;167.92;169.52;172.12;174.72;178.32;180.92;181.52;185.12;186.72;188.32;190.92;194.52;196.12;195.72;198.32;198.92;198.52;201.12;200.72;202.32;203.92;205.52;205.12;207.72;209.32;209
0.92;8.52;13.12;14.72;20.32;21.92;26.52;30.12;31.72;34.32;37.92;42.52;43.12;44.72;47.32;49.92;53.52;55.12;57.72;61.32;62.92;64.52;67.12;70.72;73.32;77.92;79.52;80.12;81.72;87.32;89.92;94.52;96.12;96.72;99.32;99.92;100.52;104.12;106.72;108.32;110.92;114.52;116.12;116.72;118.32;121.92;124.52;126.12;127.72;130.32;133.92;135.52;136.12;137.72;142.32;144.92;146.52;147.12;146.72;150.32;152.92;154.52;157.12;160.72;164.32;165.92;167.52;169.12;169.72;170.32;170.92;172.52;174.12;175.72;176.32;178.92;181.52;183.12;186.72;188.32;190.92;192.52;195.12;195.72;195.32;195.92;198.52;201.12;202.72;204.32;204.92;204.52;206.12;206.72;208.32;211.92;215.52;215.12;216.72;219.32;220
-0.08;5.52;11.12;14.72;17.32;18.92;22.52;27.12;29.72;35.32;39.92;44.52;48.12;49.72;50.32;55.92;57.52;60.12;61.72;67.32;68.92;69.52;69.12;73.72;76.32;77.92;80.52;86.12;87.72;93.32;95.92;99.52;100.12;103.72;106.32;108.92;112.52;118.12;120.72;121.32;123.92;126.52;128.12;130.72;134.32;135.92;137.52;138.12;138.72;141.32;141.92;144.52;145.12;145.72;148.32;150.92;152.52;154.12;154.72;156.32;159.92;160.52;162.12;166.72;170.32;171.92;173.52;175.12;176.72;177.32;179.92;184.52;187.12;188.72;188.32;190.92;193.52;199.12;199.72;203.32;205.92;206.52;211.12;212.72;213.32;213.92;217.52;220.12;219.72;221.32;220.92;220.52;224.12;224.72;226.32;228.92;228.52;230.12;232.72;233.32;233
0.92;5.52;10.12;14.72;17.32;18.92;22.52;24.12;26.72;30.32;32.92;35.52;39.12;39.72;41.32;43.92;46.52;49.12;51.72;55.32;57.92;58.52;59.12;61.72;63.32;66.92;69.52;71.12;72.72;76.32;77.92;81.52;82.12;84.72;86.32;86.92;87.52;89.12;90.72;91.32;94.92;95.52;98.12;100.72;105.32;106.92;108.52;111.12;112.72;114.32;117.92;120.52;123.12;125.72;129.32;129.92;129.52;134.12;133.72;136.32;137.92;137.52;139.12;142.72;147.32;152.92;154.52;155.12;155.72;157.32;157.92;162.52;165.12;167.72;171.32;172.92;173.52;178.12;180.72;183.32;183.92;187.52;191.12;193.72;193.32;194.92;196.52;201.12;201.72;201.32;202.92;202.52;205.12;205.72;206.32;207.92;208.52;209.12;210.72;214.32;214
0.92;7.52;13.12;17.72;21.32;24.92;29.52;32.12;32.72;36.32;38.92;43.52;45.12;45.72;46.32;48.92;51.52;56.12;56.72;60.32;61.92;62.52;64.12;68.72;71.32;71.92;73.52;77.12;77.72;81.32;82.92;84.52;85.12;85.72;86.32;87.92;89.52;91.12;92.72;93.32;95.92;98.52;100.12;99.72;100.32;100.92;103.52;107.12;107.72;108.32;111.92;114.52;115.12;116.72;121.32;121.92;124.52;127.12;126.72;130.32;133.92;134.52;137.12;140.72;143.32;145.92;147.52;150.12;152.72;155.32;156.92;159.52;161.12;162.72;163.32;164.92;164.52;168.12;170.72;172.32;173.92;174.52;178.12;179.72;183.32;186.92;188.52;191.12;192.72;194.32;193.92;194.52;196.12;196.72;199.32;202.92;204.52;204.12;205.72;206.32;207
1.92;6.52;11.12;14.72;20.32;20.92;22.52;24.12;26.72;29.32;30.92;36.52;39.12;41.72;47.32;51.92;55.52;59.12;60.72;65.32;67.92;70.52;73.12;75.72;77.32;78.92;82.52;83.12;82.72;87.32;87.92;92.52;93.12;94.72;98.32;101.92;103.52;105.12;106.72;109.32;110.92;112.52;114.12;115.72;116.32;119.92;122.52;124.12;124.72;126.32;128.92;132.52;135.12;136.72;140.32;139.92;143.52;146.12;146.72;150.32;152.92;155.52;157.12;160.72;164.32;166.92;168.52;170.12;170.72;173.32;173.92;176.52;178.12;178.72;181.32;183.92;186.52;188.12;190.72;194.32;196.92;198.52;203.12;204.72;205.32;206.92;210.52;211.12;213.72;216.32;215.92;216.52;220.12;220.72;222.32;225.92;227.52;227.12;230.72;231.32;234
0.92;6.52;11.12;16.72;23.32;24.92;26.52;30.12;33.72;38.32;43.92;47.52;49.12;49.72;52.32;56.92;60.52;61.12;62.72;66.32;69.92;71.52;74.12;79.72;82.32;83.92;85.52;86.12;86.72;91.32;92.92;92.52;96.12;100.72;104.32;105.92;107.52;110.12;109.72;110.32;113.92;116.52;118.12;119.72;120.32;121.92;123.52;128.12;130.72;131.32;133.92;135.52;137.12;139.72;143.32;142.92;145.52;147.12;148.72;150.32;152.92;154.52;159.12;161.72;166.32;166.92;169.52;170.12;172.72;174.32;173.92;176.52;179.12;178.72;180.32;183.92;185.52;188.12;189.72;190.32;190.92;191.52;196.12;198.72;198.32;199.92;200.52;204.12;204.72;206.32;206.92;206.52;209.12;208.72;212.32;216.92;218.52;219.12;220.72;222.32;225
0.92;6.52;12.12;15.72;20.32;23.92;25.52;27.12;29.72;34.32;35.92;38.52;40.12;40.72;41.32;42.92;45.52;46.12;48.72;52.32;53.92;56.52;58.12;60.72;62.32;64.92;69.52;76.12;75.72;80.32;82.92;84.52;86.12;88.72;91.32;92.92;95.52;99.12;102.72;104.32;106.92;107.52;109.12;109.72;112.32;113.92;114.52;117.12;118.72;120.32;120.92;122.52;124.12;125.72;127.32;127.92;129.52;130.12;130.72;131.32;133.92;134.52;137.12;139.72;143.32;143.92;146.52;148.12;150.72;151.32;150.92;153.52;156.12;156.72;158.32;159.92;162.52;166.12;167.72;171.32;172.92;173.52;178.12;179.72;181.32;183.92;186.52;189.12;191.72;194.32;195.92;195.52;198.12;198.72;199.32;199.92;202.52;204.12;205.72;207.32;209
